country_departure,country_arrival,number_of_people
"United States","France","256748"
"Netherlands","United States","225170"
"United States","Israel","177364"
"China","United States","120999"
"Northern Mariana Islands","South Korea","110633"
"South Korea","Northern Mariana Islands","109006"
"United States","Norway","87838"
"Denmark","United States","87705"
"United States","Denmark","86630"
"Philippines","Guam","77928"
"Guam","Philippines","72800"
"Guyana","United States","72179"
"South Africa","United States","68978"
"United States","South Africa","68280"
"Italy","United States","66456"
"United States","Italy","66259"
"United States","Finland","66084"
"United States","Australia","65992"
"Finland","United States","65832"
"United States","United Arab Emirates","64777"
"Ethiopia","United States","64625"
"United States","Aruba","60380"
"Aruba","United States","59907"
"Egypt","United States","59200"
"United Arab Emirates","United States","57886"
"Morocco","United States","56529"
"United States","Ethiopia","54897"
"United States","Morocco","52278"
"United States","Peru","51278"
"United States","Egypt","51111"
"Argentina","United States","50777"
"United States","New Zealand","49192"
"New Zealand","United States","49082"
"Chile","United States","48672"
"United States","Argentina","48647"
"Panama","Puerto Rico","48578"
"Puerto Rico","Panama","47857"
"Nigeria","United States","47164"
"Guam","Taiwan","46431"
"Taiwan","Guam","46001"
"United States","Chile","45785"
"United States","Nigeria","43696"
"Germany","United States","42421"
"United States","Ireland","39795"
"United States","Belgium","39547"
"Ireland","United States","39356"
"Belgium","United States","38367"
"Panama","United States","38325"
"United States","Greece","38183"
"United States","Brazil","36890"
"United States","Panama","36587"
"Belize","United States","36174"
"United States","Spain","35565"
"United States","Switzerland","34143"
"Turkey","United States","33768"
"United States","Belize","33712"
"United States","Turkey","32853"
"United Kingdom","United States","32283"
"Saint Lucia","United States","31909"
"Saudi Arabia","United States","31847"
"United States","Saint Lucia","31059"
"United States","Cayman Islands","30861"
"Turks and Caicos Islands","United States","30117"
"Thailand","United States","29593"
"Bermuda","United States","28984"
"United States","Turks and Caicos Islands","28946"
"United States","Bermuda","28567"
"United States","Czech Republic","26911"
"United States","Venezuela","26162"
"Australia","United States","23914"
"United States","Thailand","23243"
"Netherlands Antilles","Puerto Rico","22929"
"American Samoa","Samoa","22632"
"Qatar","United States","22591"
"Samoa","American Samoa","21807"
"China","Northern Mariana Islands","21796"
"Northern Mariana Islands","China","21648"
"Puerto Rico","Netherlands Antilles","21443"
"Kuwait","United States","21282"
"India","United States","20746"
"United States","Kuwait","19306"
"United States","Qatar","19174"
"Palau","Guam","18956"
"Venezuela","United States","18839"
"Guam","Palau","18421"
"Hong Kong","Guam","15740"
"Guam","Hong Kong","15446"
"Grenada","United States","14807"
"United States","Bahamas","14096"
"Haiti","United States","14069"
"United States","Grenada","13929"
"United States","Guadeloupe","13856"
"Cape Verde","United States","13662"
"United States","Jordan","13581"
"Angola","United States","13428"
"Guadeloupe","United States","13366"
"Puerto Rico","Venezuela","13339"
"United States","Angola","13275"
"Jordan","United States","13099"
"Austria","United States","12962"
"United States","Germany","12754"
"Brazil","United States","12616"
"United States","Austria","12425"
"Taiwan","United States","11602"
"United States","Cape Verde","11518"
"Puerto Rico","Canada","11380"
"United States","Taiwan","11146"
"United States","Bahrain","10815"
"Canada","Puerto Rico","10815"
"Spain","United States","10557"
"Senegal","United States","9877"
"Bahrain","United States","9759"
"Uzbekistan","United States","9502"
"United States","Senegal","9004"
"Dominican Republic","United States","8799"
"Puerto Rico","Germany","8589"
"Venezuela","Puerto Rico","8250"
"Germany","Puerto Rico","8165"
"United States","Portugal","8093"
"Portugal","United States","8056"
"United States","Martinique","7461"
"Martinique","United States","7419"
"Puerto Rico","Dominica","7307"
"Malaysia","United States","7223"
"Dominica","Puerto Rico","7176"
"Vietnam","United States","7170"
"Cook Islands","United States","7130"
"United States","Uzbekistan","6841"
"Netherlands Antilles","United States","6706"
"Mexico","United States","6689"
"United States","Netherlands Antilles","6621"
"United States","Vietnam","6509"
"United States","Cook Islands","6123"
"United States","Malaysia","5912"
"Australia","Guam","5879"
"Guam","Australia","5381"
"Barbados","United States","5206"
"United States","Iceland","5168"
"Iceland","United States","5008"
"United States","El Salvador","4845"
"United States","Cuba","4442"
"Fiji","United States","4244"
"United States","Guatemala","4214"
"Guadeloupe","Puerto Rico","3866"
"Puerto Rico","Guadeloupe","3736"
"Puerto Rico","Saint Kitts and Nevis","3710"
"Martinique","Puerto Rico","3672"
"United States","Ghana","3654"
"Bahamas","United States","3601"
"United States","Fiji","3520"
"Antigua and Barbuda","United States","3516"
"Puerto Rico","Martinique","3473"
"United States","Honduras","3369"
"United States","Latvia","3102"
"Saint Kitts and Nevis","Puerto Rico","2990"
"Latvia","United States","2879"
"France","Puerto Rico","2865"
"Cuba","United States","2819"
"Pakistan","United States","2810"
"Marshall Islands","United States","2777"
"United States","India","2656"
"United States","Marshall Islands","2593"
"United States","Samoa","2533"
"Kiribati","United States","2240"
"Norway","United States","2212"
"United States","Romania","2186"
"Samoa","United States","1982"
"Anguilla","Puerto Rico","1977"
"Dominican Republic","Puerto Rico","1909"
"Saint Kitts and Nevis","United States","1842"
"United States","Saint Kitts and Nevis","1739"
"Ghana","United States","1689"
"Puerto Rico","Anguilla","1687"
"United States","Kiribati","1539"
"United States","Philippines","1478"
"Russia","United States","1432"
"Mexico","Puerto Rico","1382"
"Puerto Rico","Mexico","1380"
"Puerto Rico","Dominican Republic","1230"
"Hong Kong","Northern Mariana Islands","1193"
"United States","Afghanistan","1121"
"Afghanistan","United States","1104"
"Northern Mariana Islands","Hong Kong","1054"
"Virgin Islands","Denmark","988"
"Hong Kong","United States","964"
"Micronesia","Guam","875"
"United States","Haiti","874"
"Denmark","Virgin Islands","861"
"El Salvador","United States","858"
"Guam","Micronesia","826"
"United States","South Korea","787"
"British Virgin Islands","Virgin Islands","776"
"Micronesia","United States","766"
"United States","Jamaica","750"
"United States","Hong Kong","747"
"United States","Dominican Republic","736"
"United States","Micronesia","700"
"Virgin Islands","British Virgin Islands","641"
"South Korea","United States","589"
"United States","Colombia","569"
"United States","Russia","566"
"Guam","Marshall Islands","560"
"Marshall Islands","Guam","531"
"Japan","Northern Mariana Islands","464"
"United States","Ecuador","438"
"United States","Liberia","432"
"Puerto Rico","United Kingdom","423"
"United States","Nicaragua","399"
"United States","Uruguay","365"
"Northern Mariana Islands","Japan","301"
"Chile","Puerto Rico","249"
"Sweden","United States","239"
"Spain","Puerto Rico","235"
"Virgin Islands","France","233"
"Liberia","United States","222"
"China","Guam","218"
"Guam","China","218"
"Nicaragua","United States","214"
"Ecuador","United States","212"
"France","Virgin Islands","209"
"Japan","United States","193"
"Puerto Rico","Argentina","190"
"Puerto Rico","Chile","187"
"Nigeria","Puerto Rico","184"
"Guam","Japan","179"
"Japan","Guam","179"
"Puerto Rico","Brazil","129"
"Puerto Rico","Spain","128"
"Bolivia","United States","118"
"Puerto Rico","Guatemala","115"
"Brazil","Puerto Rico","112"
"Jamaica","United States","110"
"United States","Guyana","108"
"United States","Bolivia","100"
"Greece","United States","92"
"South Korea","Guam","91"
"United States","Netherlands","84"
"Guam","South Korea","84"
"United States","Pakistan","81"
"United States","Japan","79"
"Philippines","United States","76"
"United States","Poland","72"
"Israel","United States","63"
"Ghana","Puerto Rico","62"
"Netherlands Antilles","Virgin Islands","61"
"Bolivia","Puerto Rico","59"
"United States","Saudi Arabia","54"
"Virgin Islands","Netherlands Antilles","51"
"Colombia","Puerto Rico","51"
"Puerto Rico","Bolivia","50"
"Puerto Rico","British Virgin Islands","48"
"Antigua and Barbuda","Puerto Rico","47"
"Paraguay","United States","44"
"United States","Costa Rica","43"
"Argentina","Puerto Rico","42"
"United States","Paraguay","42"
"British Virgin Islands","Puerto Rico","41"
"Romania","United States","37"
"Puerto Rico","Guyana","37"
"Puerto Rico","Colombia","30"
"Uruguay","United States","29"
"Trinidad and Tobago","United States","27"
"Peru","United States","23"
"Ecuador","Puerto Rico","21"
"French Polynesia","United States","20"
"Puerto Rico","Peru","14"
"Puerto Rico","Ecuador","12"
"United States","French Polynesia","11"
"United States","French Guiana","11"
"French Guiana","United States","11"
"United States","Anguilla","10"
"Northern Mariana Islands","Palau","9"
"United States","Barbados","7"
"Malta","United States","7"
"Canada","United States","7"
"Cayman Islands","United States","7"
"United States","Malta","7"
"Czech Republic","United States","6"
"Virgin Islands","Cayman Islands","6"
"Spain","Virgin Islands","6"
"Antigua and Barbuda","Virgin Islands","5"
"United States","Gibraltar","5"
"Anguilla","United States","5"
"Virgin Islands","Antigua and Barbuda","5"
"Ukraine","United States","4"
"Grenada","Puerto Rico","4"
"United States","Mexico","4"
"United States","Canada","4"
"Virgin Islands","Dominican Republic","3"
"Australia","American Samoa","3"
"Saint Vincent and the Grenadines","Puerto Rico","3"
"United States","Antigua and Barbuda","3"
"United States","Togo","3"
"Switzerland","United States","3"
