"PASSENGERS","ORIGIN","DEST",
0.00,"EMA","UXP",
0.00,"PHL","UTP",
0.00,"UXP","EMA",
0.00,"LAX","PVG",
0.00,"PVG","LAX",
0.00,"ATL","STN",
0.00,"FRA","ATL",
0.00,"FRA","ORD",
0.00,"IAH","STN",
0.00,"JFK","YHM",
0.00,"SDF","YHM",
0.00,"YHM","JFK",
0.00,"MAN","JFK",
0.00,"HAM","ORF",
0.00,"MSP","TUN",
0.00,"LRD","MEX",
0.00,"MEX","FWA",
0.00,"MEX","LRD",
0.00,"SLW","LRD",
0.00,"YIP","SLW",
0.00,"ATL","FRA",
0.00,"FRA","ATL",
0.00,"FRA","IAH",
0.00,"FRA","LAX",
0.00,"FRA","ORD",
0.00,"IAH","FRA",
0.00,"LAX","FRA",
0.00,"ORD","FRA",
0.00,"ORD","LEJ",
0.00,"GDL","LAX",
0.00,"LAX","GDL",
0.00,"LAX","MEX",
0.00,"MEX","LAX",
0.00,"MEX","ORD",
0.00,"ORD","MEX",
0.00,"ATL","CDG",
0.00,"CDG","ATL",
0.00,"CDG","IAH",
0.00,"CDG","JFK",
0.00,"CDG","ORD",
0.00,"IAH","CDG",
0.00,"JFK","CDG",
0.00,"ORD","CDG",
0.00,"ORD","DUB",
0.00,"ORD","PIK",
0.00,"ATL","FRA",
0.00,"BQN","FRA",
0.00,"CWB","BQN",
0.00,"DFW","FRA",
0.00,"DFW","MAN",
0.00,"DTW","FRA",
0.00,"DTW","MAN",
0.00,"FRA","ATL",
0.00,"FRA","DFW",
0.00,"FRA","DTW",
0.00,"FRA","IAH",
0.00,"FRA","JFK",
0.00,"FRA","LAX",
0.00,"FRA","ORD",
0.00,"GDL","DFW",
0.00,"IAH","FRA",
0.00,"IAH","MAN",
0.00,"JFK","FRA",
0.00,"LAX","FRA",
0.00,"LIM","BQN",
0.00,"MAO","BQN",
0.00,"MEX","DFW",
0.00,"ORD","FRA",
0.00,"UIO","BQN",
0.00,"VCP","BQN",
0.00,"YYZ","IAH",
0.00,"AMS","BQN",
0.00,"AMS","MIA",
0.00,"BOG","BQN",
0.00,"BQN","AMS",
0.00,"MIA","AMS",
0.00,"MIA","EZE",
0.00,"MIA","SCL",
0.00,"MIA","UIO",
0.00,"SCL","MIA",
0.00,"UIO","MIA",
0.00,"OME","PVS",
0.00,"ANC","NRT",
0.00,"DFW","NRT",
0.00,"JFK","NRT",
0.00,"LAX","NRT",
0.00,"NRT","DFW",
0.00,"NRT","JFK",
