country_departure,country_arrival,number_of_people
"United States","Afghanistan","1121"
"Samoa","American Samoa","21807"
"United States","Angola","13275"
"Puerto Rico","Anguilla","1687"
"United States","Antigua and Barbuda","93200"
"Puerto Rico","Argentina","190"
"United States","Argentina","532980"
"United States","Aruba","477346"
"Guam","Australia","5381"
"United States","Australia","973909"
"United States","Austria","176560"
"United States","Bahamas","999945"
"United States","Bahrain","10815"
"United States","Barbados","146996"
"United States","Belgium","414814"
"United States","Belize","195820"
"United States","Bermuda","223844"
"United States","Bolivia","49564"
"Puerto Rico","Brazil","786"
"United States","Brazil","2019730"
"Puerto Rico","Canada","11380"
"United States","Canada","9706422"
"United States","Cayman Islands","306340"
"Puerto Rico","Chile","187"
"United States","Chile","349775"
"Guam","China","1977"
"Northern Mariana Islands","China","104499"
"United States","China","1780933"
"Puerto Rico","Colombia","9683"
"United States","Colombia","1043279"
"United States","Cook Islands","6123"
"United States","Costa Rica","963239"
"United States","Cuba","265050"
"United States","Czech Republic","26911"
"United States","Denmark","294187"
"Virgin Islands","Denmark","1725"
"Puerto Rico","Dominica","7307"
"Puerto Rico","Dominican Republic","174078"
"United States","Dominican Republic","2136273"
"United States","Ecuador","416814"
"United States","Egypt","51111"
"United States","El Salvador","576869"
"United States","Ethiopia","54897"
"United States","Fiji","68094"
"United States","Finland","78669"
"Puerto Rico","France","3464"
"United States","France","2522441"
"Virgin Islands","France","239"
"United States","French Polynesia","94684"
"Puerto Rico","Germany","8589"
"United States","Germany","3922950"
"United States","Ghana","35422"
"United States","Greece","69808"
"United States","Grenada","38561"
"Australia","Guam","5879"
"China","Guam","2278"
"Hong Kong","Guam","15740"
"Japan","Guam","640897"
"Marshall Islands","Guam","3035"
"Palau","Guam","18956"
"Philippines","Guam","77928"
"Taiwan","Guam","46001"
"Puerto Rico","Guatemala","115"
"United States","Guatemala","458445"
"United States","Guyana","80959"
"United States","Haiti","404782"
"United States","Honduras","349567"
"Guam","Hong Kong","15446"
"Northern Mariana Islands","Hong Kong","1054"
"United States","Hong Kong","890694"
"United States","Iceland","314847"
"United States","India","320313"
"United States","Ireland","797068"
"United States","Israel","517088"
"United States","Italy","1155512"
"United States","Jamaica","1203133"
"Guam","Japan","651428"
"Northern Mariana Islands","Japan","85701"
"United States","Japan","3311558"
"United States","Jordan","88980"
"United States","Kiribati","1539"
"United States","Kuwait","51626"
"United States","Latvia","3102"
"United States","Liberia","5135"
"United States","Malaysia","5912"
"Guam","Marshall Islands","2932"
"United States","Marshall Islands","6913"
"Puerto Rico","Mexico","1573"
"United States","Mexico","8424672"
"United States","Morocco","52278"
"United States","Netherlands","1778587"
"United States","New Zealand","286166"
"United States","Nicaragua","248983"
"United States","Nigeria","102488"
"China","Northern Mariana Islands","106132"
"Hong Kong","Northern Mariana Islands","1193"
"Japan","Northern Mariana Islands","83298"
"United States","Norway","138981"
"United States","Pakistan","16238"
"Guam","Palau","18421"
"Puerto Rico","Panama","47857"
"United States","Panama","956676"
"United States","Paraguay","18392"
"United States","Peru","643658"
"Guam","Philippines","72800"
"United States","Philippines","276324"
"United States","Poland","134679"
"United States","Portugal","207081"
"Anguilla","Puerto Rico","1977"
"Antigua and Barbuda","Puerto Rico","185"
"Brazil","Puerto Rico","524"
"Canada","Puerto Rico","10815"
"Chile","Puerto Rico","249"
"Colombia","Puerto Rico","9953"
"Dominica","Puerto Rico","7176"
"Dominican Republic","Puerto Rico","180730"
"Ecuador","Puerto Rico","103"
"France","Puerto Rico","2865"
"Germany","Puerto Rico","8165"
"Mexico","Puerto Rico","1507"
"Nigeria","Puerto Rico","184"
"Panama","Puerto Rico","48578"
