country_departure,country_arrival,number_of_routes
"Canada","United States","399"
"United States","Canada","399"
"United States","Mexico","341"
"Mexico","United States","339"
"Spain","United Kingdom","290"
"United Kingdom","Spain","289"
"Spain","Germany","236"
"Germany","Spain","232"
"Taiwan","China","165"
"China","Taiwan","165"
"United States","United Kingdom","161"
"United Kingdom","United States","159"
"China","Japan","146"
"Japan","China","146"
"Germany","Italy","140"
"Italy","Germany","138"
"United Kingdom","France","123"
"France","United Kingdom","122"
"South Korea","China","121"
"United Kingdom","Germany","120"
"China","South Korea","120"
"Germany","United Kingdom","119"
"Germany","United States","115"
"United States","Germany","115"
"Hong Kong","China","107"
"China","Hong Kong","107"
"Italy","Spain","103"
"Spain","Italy","103"
"Japan","South Korea","103"
"South Korea","Japan","103"
"France","Italy","87"
"Italy","France","87"
"Canada","Mexico","86"
"Japan","United States","86"
"United States","Japan","86"
"Mexico","Canada","84"
"New Zealand","Australia","84"
"France","Spain","83"
"Spain","France","83"
"Australia","New Zealand","79"
"Russia","Uzbekistan","79"
"Uzbekistan","Russia","79"
"France","United States","78"
"United States","France","77"
"Italy","United Kingdom","75"
"United Kingdom","Italy","73"
"United States","Bahamas","71"
"Bahamas","United States","71"
"Germany","Turkey","70"
"Germany","Austria","70"
"France","Algeria","69"
"Algeria","France","69"
"Austria","Germany","69"
"Turkey","Germany","68"
"United Arab Emirates","India","66"
"India","United Arab Emirates","66"
"United Kingdom","Ireland","63"
"Poland","United Kingdom","62"
"United Kingdom","Poland","62"
"Russia","Tajikistan","62"
"France","Morocco","62"
"Morocco","France","62"
"Tajikistan","Russia","61"
"Switzerland","United Kingdom","60"
"United Kingdom","Switzerland","60"
"Ireland","United Kingdom","59"
"Germany","Russia","59"
"Russia","Germany","59"
"France","Germany","56"
"Germany","Poland","55"
"Germany","France","55"
"Indonesia","Singapore","54"
"Singapore","Indonesia","54"
"Poland","Germany","54"
"United States","Brazil","52"
"Brazil","United States","52"
"United Kingdom","Netherlands","49"
"Netherlands","United Kingdom","49"
"China","United States","49"
"United States","China","49"
"United States","Spain","49"
"Spain","United States","49"
"Switzerland","Germany","49"
"Indonesia","Malaysia","48"
"Puerto Rico","United States","48"
"Germany","Switzerland","48"
"United States","Netherlands","46"
"Netherlands","United States","46"
"Malaysia","Indonesia","46"
"United States","Puerto Rico","46"
"United Kingdom","Egypt","45"
"Egypt","United Kingdom","45"
"United Kingdom","Canada","45"
"Romania","Italy","44"
"Italy","Romania","44"
"Canada","United Kingdom","44"
"Portugal","Spain","43"
"Spain","Portugal","43"
"Dominican Republic","United States","43"
"United States","Dominican Republic","43"
"United Kingdom","Portugal","42"
"Portugal","United Kingdom","42"
"Russia","Kyrgyzstan","42"
"Thailand","China","42"
"China","Thailand","42"
"Taiwan","Japan","42"
"Japan","Taiwan","42"
"Kyrgyzstan","Russia","41"
"Germany","Egypt","41"
"United Arab Emirates","Pakistan","41"
"United Arab Emirates","Saudi Arabia","41"
"United States","South Korea","40"
"South Korea","United States","40"
"Pakistan","United Arab Emirates","40"
"Russia","Ukraine","40"
"Ukraine","Russia","40"
"Saudi Arabia","United Arab Emirates","40"
