city,lng,lat
"Abilene","-99.47000000","32.68500000"
"Adak Island","-176.41000000","52.46300000"
"Akhiok","-153.63800000","57.56400000"
"Akiak","-160.71800000","61.50400000"
"Akron","-81.07100000","41.52600000"
"Akutan","-165.64200000","54.22000000"
"Alakanuk","-164.43400000","63.13300000"
"Alamogordo","-105.98500000","33.39900000"
"Alamosa","-105.77800000","37.72500000"
"Albany","-73.67000000","43.24700000"
"Albuquerque","-106.34900000","35.06700000"
"Alexandria","-92.25000000","31.54500000"
"Allakaket","-152.37100000","66.91900000"
"Allentown","-75.06900000","41.08600000"
"Alliance","-102.67400000","42.08800000"
"Alpena","-83.26800000","45.13000000"
"Altoona","-77.86700000","40.49300000"
"Amarillo","-101.51000000","35.36500000"
"Ambler","-157.76300000","67.17700000"
"Amook Bay","-153.69300000","57.78500000"
"Anaktuvuk Pass","-151.57200000","68.22200000"
"Anchorage","-149.99400000","61.29000000"
"Angoon","-134.30900000","57.83900000"
"Aniak","-159.23900000","61.96900000"
"Anvik","-159.65200000","63.07700000"
"Appleton","-88.18000000","44.42900000"
"Arcata CA","-123.51500000","41.63000000"
"Arctic Village","-145.29900000","68.19100000"
"Asheville","-82.23700000","35.72600000"
"Aspen","-106.78200000","39.37200000"
"Atlanta","-84.04700000","34.06100000"
"Atlantic City","-74.29600000","39.76200000"
"Atqasuk","-157.06000000","70.77800000"
"Augusta","-69.66300000","44.53400000"
"Austin","-97.45000000","30.32400000"
"Austin TX","-97.61100000","30.52700000"
"Bakersfield","-118.42800000","35.72200000"
"Baltimore","-76.44800000","39.29200000"
"Bangor","-68.71400000","45.34500000"
"Bar Harbor","-67.93600000","44.74900000"
"Barnstable","-69.80100000","42.11500000"
"Barrow","-156.61100000","71.47500000"
"Barter Island","-143.30400000","70.22300000"
"Baton Rouge","-90.58300000","30.88800000"
"Beaufort","-80.53900000","32.79500000"
"Beaumont","-93.36800000","30.58400000"
"Beaver","-147.01200000","66.60300000"
"Beckley","-80.54100000","38.31200000"
"Bellingham","-122.23000000","49.32100000"
"Bemidji","-94.89200000","47.85100000"
"Bentonville","-93.84500000","36.46900000"
"Bethel","-161.73000000","61.29900000"
"Bettles","-151.21600000","67.52300000"
"Billings","-108.23000000","46.34800000"
"Binghamton","-75.96700000","42.34700000"
"Birmingham","-86.59000000","33.93800000"
"Bismarck","-100.59700000","47.29300000"
"Block Island","-71.29700000","41.28000000"
"Bloomington","-88.86000000","40.79500000"
"Boise","-115.70500000","43.94000000"
"Boston","-70.34200000","42.60700000"
"Boulder City","-114.19000000","35.94100000"
"Bozeman","-110.60100000","46.29600000"
"Bradford","-78.40100000","42.33800000"
"Brainerd","-93.56400000","46.66300000"
"Branson","-92.66800000","36.88600000"
"Brevig Mission","-166.11000000","65.55200000"
"Brich Creek","-145.69300000","66.42700000"
"BRISTOL","-82.01300000","36.79200000"
"Brownsville","-97.04400000","26.51100000"
"Brunswick","-81.11100000","31.43100000"
"Buckland","-160.58200000","66.63600000"
"Buffalo","-78.55400000","43.56700000"
"Burbank","-117.93200000","34.33400000"
"Burlington","-72.58900000","44.78600000"
"Bush Field","-81.94100000","33.61600000"
"Butte","-112.16300000","46.59100000"
"Cape Girardeau","-89.28500000","37.37500000"
"Cape Lisburne","-165.51700000","69.45800000"
"Carlsbad","-103.77300000","32.56200000"
