country,lat,lng,iso
"Albania","41.00000000","20.00000000","ALB"
"Algeria","28.00000000","3.00000000","DZA"
"American Samoa","-14.20000000","-170.00000000","ASM"
"Andorra","42.30000000","1.30000000","AND"
"Angola","-12.30000000","18.30000000","AGO"
"Anguilla","18.15000000","-63.10000000","AIA"
"Antarctica","-90.00000000","0.00000000","ATA"
"Antigua and Barbuda","17.03000000","-61.48000000","ATG"
"Argentina","-34.00000000","-64.00000000","ARG"
"Armenia","40.00000000","45.00000000","ARM"
"Aruba","12.30000000","-69.58000000","ABW"
"Australia","-27.00000000","133.00000000","AUS"
"Austria","47.20000000","13.20000000","AUT"
"Azerbaijan","40.30000000","47.30000000","AZE"
"Bahamas","24.15000000","-76.00000000","BHS"
"Bahrain","26.00000000","50.33000000","BHR"
"Bangladesh","24.00000000","90.00000000","BGD"
"Barbados","13.10000000","-59.32000000","BRB"
"Belarus","53.00000000","28.00000000","BLR"
"Belgium","50.50000000","4.00000000","BEL"
"Belize","17.15000000","-88.45000000","BLZ"
"Benin","9.30000000","2.15000000","BEN"
"Bermuda","32.20000000","-64.45000000","BMU"
"Bhutan","27.30000000","90.30000000","BTN"
"Bolivia","-17.00000000","-65.00000000","BOL"
"Bosnia and Herzegovina","44.00000000","18.00000000","BIH"
"Botswana","-22.00000000","24.00000000","BWA"
"Bouvet Island","-54.26000000","3.24000000","BVT"
"Brazil","-10.00000000","-55.00000000","BRA"
"Brunei","4.30000000","114.40000000","BRN"
"Bulgaria","43.00000000","25.00000000","BGR"
"Burkina Faso","13.00000000","-2.00000000","BFA"
"Burundi","-3.30000000","30.00000000","BDI"
"Cambodia","13.00000000","105.00000000","KHM"
"Cameroon","6.00000000","12.00000000","CMR"
"Canada","60.00000000","-95.00000000","CAN"
"Cayman Islands","19.30000000","-80.30000000","CYM"
"Central African Republic","7.00000000","21.00000000","CAF"
"Chad","15.00000000","19.00000000","TCD"
"Chile","-30.00000000","-71.00000000","CHL"
"China","35.00000000","105.00000000","CHN"
"Christmas Island","-10.30000000","105.40000000","\"CXR	"
"Cocos (Keeling) Islands","-12.30000000","96.50000000","\"CCK	"
"Colombia","4.00000000","-72.00000000","COL"
"Comoros","-12.10000000","44.15000000","COM"
"Cook Islands","-21.14000000","-159.46000000","COK"
"Costa Rica","10.00000000","-84.00000000","CRI"
"Cote d'Ivoire","8.00000000","-5.00000000","CIV"
"Croatia","45.10000000","15.30000000","HRV"
