country_departure,country_arrival,number_of_people
"Spain","United Kingdom","7300629.5926936865"
"United Kingdom","Spain","7232820.1873242855"
"United States","Canada","6772059.176795483"
"Canada","United States","6723765.2314680815"
"Mexico","United States","5195353.662835836"
"United Kingdom","Germany","5095083.908591986"
"Germany","Spain","5044136.296916246"
"United States","Mexico","5043174.495268941"
"Germany","United Kingdom","5014970.732762575"
"Spain","Germany","4996635.67565763"
"United States","United Kingdom","4861796.095458269"
"United Kingdom","United States","4696027.077906132"
"Japan","China","4659474.8972866535"
"China","Japan","4443565.934186101"
"China","South Korea","3896102.2563198805"
"South Korea","China","3831734.278039694"
"China","Hong Kong","3718046.673598528"
"Hong Kong","China","3645645.247843981"
"Italy","United Kingdom","3536715.654333234"
"Italy","Germany","3531042.2473145723"
"United Kingdom","Italy","3497034.8511921167"
"Germany","Italy","3479199.099489808"
"France","United Kingdom","3352111.962644458"
"United Kingdom","France","3316456.002290845"
"India","United Arab Emirates","3190911.638553381"
"United Arab Emirates","India","3047119.0394507647"
"Italy","Spain","2670064.5774327517"
"United States","Germany","2660510.761969328"
"China","Singapore","2658569.5177993774"
"Singapore","China","2642065.289779663"
"Spain","Italy","2639708.246269822"
"Germany","United States","2629138.6160031557"
"Turkey","Germany","2588997.5188114643"
"France","Germany","2521302.0519553423"
"Germany","France","2495037.295430541"
"Germany","Turkey","2484085.680803418"
"China","Taiwan","2331292.146618247"
"United States","France","2266327.743482113"
"France","United States","2255115.615882516"
"Taiwan","China","2242578.7721232176"
"Italy","France","2230413.435227871"
"France","Italy","2202622.130616069"
"China","Thailand","2121970.7506382465"
"France","Spain","2119500.984550476"
"Thailand","China","2117967.8660463095"
"China","Malaysia","2105663.184247732"
"Spain","France","2087493.5508892536"
"Malaysia","China","1982074.006397128"
"Poland","United Kingdom","1871861.498308301"
"United Kingdom","Poland","1853480.3371938467"
"China","United States","1831312.399297595"
"Japan","South Korea","1826206.9792269468"
"United States","China","1791807.8331855536"
"United States","Japan","1694738.2155196667"
"Morocco","France","1681791.8185591698"
"Germany","Austria","1677879.922687292"
"Russia","Germany","1676401.3989617825"
"Malaysia","Indonesia","1657682.4200408459"
"Germany","Russia","1650789.8815994263"
"Indonesia","Malaysia","1642305.4888617992"
"Austria","Germany","1636076.8875966072"
"Japan","United States","1627701.2848399878"
"France","Morocco","1622830.4329237938"
"South Korea","Japan","1549156.209231615"
"United Kingdom","Netherlands","1548783.3877863884"
