id,name
1 "Kuperman, M"
2 "Acebron, J"
3 "Bonilla, L"
4 "Perezvicente, C"
5 "Ritort, F"
6 "Spigler, R"
7 "Adamic, L"
8 "Adar, E"
9 "Huberman, B"
10 "Lukose, R"
11 "Puniyani, A"
12 "Aertsen, A"
13 "Gerstein, G"
14 "Habib, M"
15 "Palm, G"
16 "Afraimovich, V"
17 "Verichev, N"
18 "Rabinovich, M"
19 "Agrawal, H"
20 "Ahuja, R"
21 "Magnanti, T"
22 "Orlin, J"
23 "Aiello, W"
24 "Chung, F"
25 "Lu, L"
26 "Alba, R"
27 "Alberich, R"
28 "Mirojulia, J"
29 "Rossello, F"
30 "Albert, R"
31 "Albert, I"
32 "Nakarado, G"
33 "Barabasi, A"
34 "Jeong, H"
35 "Alberts, B"
36 "Bray, D"
37 "Lewis, J"
38 "Raff, M"
39 "Roberts, K"
40 "Watson, J"
41 "Aldana, M"
42 "Aldous, D"
43 "Pittel, B"
44 "Aleksiejuk, A"
45 "Holyst, J"
46 "Stauffer, D"
47 "Allaria, E"
48 "Arecchi, F"
49 "Digarbo, A"
50 "Meucci, R"
51 "Almaas, E"
52 "Kovacs, B"
53 "Vicsek, T"
54 "Oltvai, Z"
55 "Krapivsky, P"
56 "Redner, S"
57 "Kulkarni, R"
58 "Stroud, D"
59 "Alon, N"
60 "Yuster, R"
61 "Zwick, U"
62 "Alon, U"
63 "Surette, M"
64 "Barkai, N"
65 "Leiber, S"
66 "Alter, O"
67 "Brown, P"
68 "Botstein, D"
69 "Amaral, L"
70 "Scala, A"
71 "Barthelemy, M"
72 "Stanley, H"
73 "Amengual, A"
74 "Hernandezgarcia, E"
75 "Montagne, R"
76 "Sanmiguel, M"
77 "Ancelmeyers, L"
78 "Newman, M"
79 "Martin, M"
80 "Schrag, S"
81 "Anderson, C"
82 "Wasserman, S"
83 "Crouch, B"
84 "Anderson, P"
85 "Arrow, K"
86 "Pines, D"
87 "Anderson, R"
88 "May, R"
89 "Andersson, H"
90 "Antal, T"
91 "Apic, G"
92 "Gough, J"
93 "Teichmann, S"
94 "Arenas, A"
95 "Cabrales, A"
96 "Diazguilera, A"
97 "Guimera, R"
98 "Vegaredondo, F"
99 "Danon, L"
100 "Gleiser, P"
101 "Arita, M"
102 "Ashwin, P"
103 "Buescu, J"
104 "Stewart, I"
105 "Atay, F"
106 "Jost, J"
107 "Wende, A"
108 "Aumann, R"
109 "Hart, S"
110 "Axelrod, R"
111 "Bader, G"
112 "Hogue, C"
113 "Baiesi, M"
114 "Paczuski, M"
115 "Bailey, N"
116 "Baird, D"
117 "Ulanowicz, R"
118 "Baker, W"
119 "Faulkner, R"
120 "Bak, P"
121 "Sneppen, K"
122 "Ball, F"
123 "Mollison, D"
124 "Scaliatomba, G"
125 "Ball, P"
126 "Banavar, J"
127 "Maritan, A"
128 "Rinaldo, A"
129 "Banks, D"
130 "Carley, K"
131 "Bianconi, G"
132 "Ravasz, E"
133 "Neda, Z"
134 "Schubert, A"
135 "Barahona, M"
136 "Pecora, L"
137 "Barbour, A"
138 "Reinert, G"
139 "Barjoseph, Z"
140 "Gerber, G"
141 "Lee, T"
142 "Rinaldi, N"
143 "Yoo, J"
144 "Robert, F"
145 "Gordon, D"
146 "Fraenkel, E"
147 "Jaakkola, T"
148 "Young, R"
149 "Barrat, A"
150 "Pastorsatorras, R"
151 "Vespignani, A"
152 "Weigt, M"
153 "Barreto, E"
154 "So, P"
155 "Gluckmann, B"
156 "Schiff, S"
157 "Gondran, B"
158 "Guichard, E"
159 "Baryam, Y"
160 "Batagelj, V"
161 "Mrvar, A"
162 "Battiston, S"
163 "Catanzaro, M"
164 "Batty, M"
165 "Longley, P"
166 "Bauer, M"
167 "Bernard, D"
168 "Bavelas, A"
169 "Bchklovskii, D"
170 "Schikorski, T"
171 "Stevens, C"
172 "Bearman, P"
173 "Moody, J"
174 "Stovel, K"
175 "Bekessy, A"
176 "Bekessy, P"
177 "Komlos, J"
178 "Bell, H"
179 "Belykh, I"
180 "Belykh, V"
181 "Hasler, M"
182 "Bender, E"
183 "Canfield, E"
184 "Bennaim, E"
185 "Frauenfelder, H"
186 "Toroczkai, Z"
187 "Berg, J"
188 "Lassig, M"
189 "Wagner, A"
190 "Berlow, E"
191 "Bernardes, A"
192 "Costa, U"
193 "Araujo, A"
194 "Kertesz, J"
195 "Bernard, H"
196 "Killworth, P"
197 "Evans, M"
198 "Mccarty, C"
199 "Shelley, G"
200 "Bhan, A"
201 "Galas, D"
202 "Dewey, T"
203 "Capocci, A"
204 "Biggs, N"
205 "Bilke, S"
206 "Peterson, C"
207 "Blanchard, P"
208 "Chang, C"
209 "Kruger, T"
210 "Blasius, B"
211 "Huppert, A"
212 "Stone, L"
213 "Blower, S"
214 "Samuel, M"
215 "Wiley, J"
216 "Boccaletti, S"
217 "Bragard, J"
218 "Mancini, H"
219 "Kurths, J"
220 "Valladares, D"
221 "Osipov, G"
222 "Zhou, C"
223 "Pelaez, A"
224 "Maza, D"
225 "Boguna, M"
226 "Bohland, J"
227 "Minai, A"
228 "Bollobas, B"
229 "Riordan, O"
230 "Spencer, J"
231 "Tusnady, G"
232 "Bonacich, P"
233 "Bonanno, G"
234 "Lillo, F"
235 "Mantegna, R"
236 "Bonnekoh, J"
237 "Bordens, M"
238 "Gomez, I"
239 "Borgatti, S"
240 "Everett, M"
241 "Foster, P"
242 "Borgers, C"
243 "Kopell, N"
244 "Bornholdt, S"
245 "Ebel, H"
246 "Rohlf, T"
247 "Schuster, H"
248 "Bota, M"
249 "Dong, H"
250 "Swanson, L"
251 "Mendoza, C"
252 "Hentschel, H"
