*Vertices      1899
     1 "1"    0.4362    0.3985
     2 "2"    0.5803    0.3527
     3 "3"    0.5510    0.7043
     4 "4"    0.5521    0.4469
     5 "5"    0.2811    0.7675
     6 "6"    0.5870    0.3317
     7 "7"    0.3333    0.5395
     8 "8"    0.5736    0.6312
     9 "9"    0.4523    0.6059
     10 "10"    0.6616    0.6396
     11 "11"    0.1725    0.4695
     12 "12"    0.3413    0.5060
     13 "13"    0.2401    0.1900
     14 "14"    0.2906    0.4422
     15 "15"    0.3613    0.4634
     16 "16"    0.6298    0.1836
     17 "17"    0.3143    0.6070
     18 "18"    0.6077    0.7049
     19 "19"    0.4289    0.3921
     20 "20"    0.7163    0.5630
     21 "21"    0.4186    0.6346
     22 "22"    0.6981    0.4268
     23 "23"    0.6220    0.4322
     24 "24"    0.3982    0.8113
     25 "25"    0.7868    0.3182
     26 "26"    0.7772    0.6226
     27 "27"    0.8039    0.4623
     28 "28"    0.4794    0.7920
     29 "29"    0.2752    0.7400
     30 "30"    0.3337    0.6444
     31 "31"    0.2724    0.5544
     32 "32"    0.3221    0.7352
     33 "33"    0.3177    0.6796
     34 "34"    0.3446    0.1500
     35 "35"    0.5985    0.4579
     36 "36"    0.1714    0.2514
     37 "37"    0.6946    0.6726
     38 "38"    0.4556    0.4150
     39 "39"    0.2788    0.1783
     40 "40"    0.5469    0.1905
     41 "41"    0.4228    0.4598
     42 "42"    0.2332    0.7853
     43 "43"    0.8136    0.2499
     44 "44"    0.8014    0.3424
     45 "45"    0.2666    0.3313
     46 "46"    0.2845    0.7773
     47 "47"    0.3960    0.3001
     48 "48"    0.3515    0.6829
     49 "49"    0.5637    0.7646
     50 "50"    0.4452    0.8206
     51 "51"    0.4286    0.8105
     52 "52"    0.4762    0.5626
     53 "53"    0.6710    0.3543
     54 "54"    0.6368    0.2429
     55 "55"    0.3497    0.3681
     56 "56"    0.3809    0.7415
     57 "57"    0.7308    0.4404
     58 "58"    0.1926    0.2015
     59 "59"    0.3856    0.3158
     60 "60"    0.8355    0.5635
     61 "61"    0.1539    0.3244
     62 "62"    0.5538    0.3553
     63 "63"    0.3174    0.6902
     64 "64"    0.6759    0.7790
     65 "65"    0.5238    0.5835
     66 "66"    0.8305    0.4828
     67 "67"    0.5686    0.7570
     68 "68"    0.1791    0.8072
     69 "69"    0.3144    0.4762
     70 "70"    0.2349    0.7436
